노선,역A,역B,인원
의정부,곤제,어룡,21411.1
서해선,곡산,대곡,20425.3
인천지하철 2호선,시민공원,주안,19928.9
서해선,시우,초지,19842.1
수인분당선,사리,한대앞,19705.6
서해선,곡산,백마,19680.9
서해선,능곡,대곡,19353.0
인천지하철 2호선,석바위시장,인천시청,19173.9
인천지하철 2호선,남동구청,만수,18817.1
인천지하철 2호선,석바위시장,시민공원,18612.8
1호선,가능,의정부,18356.8
1호선,의정부,회룡,18356.8
서해선,시우,원시,18254.8
5호선 본선,개화산,방화,17872.7
1호선,가능,녹양,17466.8
우이신설선,4.19민주묘지,솔밭공원,17055.0
5호선 본선,하남검단산,하남시청,16910.5
4호선,능길,정왕,16728.8
경강선,경기광주,초월,16263.6
9호선,개화,김포공항,15811.8
1호선,녹양,양주,15569.6
8호선,암사,암사역사공원,15482.7
수인분당선,어천,오목천,15458.4
수인분당선,야목,어천,15458.4
수인분당선,사리,야목,15458.4
경의중앙선,문산,운천,15276.5
서해선,백마,풍산,14840.7
1호선,개봉,구일,13888.8
에버라인,어정,지석,13710.3
수인분당선,소래포구,월곶,13545.6
수인분당선,달월,월곶,13461.3
수인분당선,달월,오이도,13435.7
수인분당선,인천논현,호구포,13398.0
수인분당선,남동인더스파크,호구포,13398.0
수인분당선,소래포구,인천논현,13398.0
수인분당선,남동인더스파크,원인재,13398.0
수인분당선,송도,연수,12694.3
수인분당선,송도,인하대,12694.3
수인분당선,연수,원인재,12694.3
9호선,둔촌오륜,중앙보훈병원,12606.9
경춘선,마석,천마산,12551.9
4호선,경마공원,대공원,12374.8
1호선,덕계,양주,12122.3
김포도시철도,구래,양촌,12046.7
1호선,도화,제물포,11564.6
수인분당선,고색,오목천,11483.5
5호선 마천지선,거여,마천,10735.4
의정부,송산,어룡,10732.8
의정부,발곡,회룡,10709.8
경춘선,광운대,중랑,10481.7
인천지하철 1호선,국제업무지구,센트럴파크,10432.8
경춘선,상봉,중랑,10108.4
경부선 광명지선,광명,금천구청,9920.8
인천지하철 2호선,서부여성회관,인천가좌,9698.7
인천지하철 2호선,주안,주안국가산단,9698.7
인천지하철 2호선,서부여성회관,석남,9698.7
인천지하철 2호선,가재울,인천가좌,9698.7
인천지하철 2호선,가재울,주안국가산단,9698.7
1호선,세류,수원,9497.7
1호선,병점,세류,8714.4
1호선,병점,세마,8689.2
우이신설선,북한산우이,솔밭공원,8649.9
1호선,세마,오산대,8428.2
경의중앙선,구리,도농,8266.2
1호선,덕계,덕정,7955.3
수인분당선,오이도,정왕,7825.0
4호선,불암산,상계,7712.1
인천지하철 2호선,가정,가정중앙시장,7509.3
인천지하철 2호선,가정중앙시장,석남,7509.3
인천지하철 2호선,서구청,아시아드경기장,7509.3
인천지하철 2호선,검바위,검암,7509.3
인천지하철 2호선,검바위,아시아드경기장,7509.3
인천국제공항선,검암,계양,7509.3
인천지하철 2호선,가정,서구청,7509.3
경강선,곤지암,초월,7451.9
4호선,오이도,정왕,7279.9
수인분당선,능길,정왕,7196.5
수인분당선,안산,초지,6815.8
수인분당선,능길,안산,6808.6
경의중앙선,운천,임진강,6353.6
서해선,일산,풍산,6184.8
에버라인,동백,초당,6007.3
에버라인,동백,어정,6007.3
에버라인,삼가,시청·용인대,6007.3
에버라인,삼가,초당,6007.3
1호선,덕정,지행,5905.5
1호선,오산,오산대,5737.8
1호선,동두천중앙,지행,5523.0
에버라인,명지대,시청·용인대,5485.7
1호선,송탄,진위,5059.6
1호선,오산,진위,5007.3
수인분당선,중앙,한대앞,4817.6
수인분당선,고잔,중앙,4797.1
수인분당선,고잔,초지,4778.2
1호선,서정리,송탄,4714.5
에버라인,김량장,명지대,4653.0
1호선,동두천중앙,보산,4451.6
경강선,곤지암,신둔도예촌,4157.6
경강선,신둔도예촌,이천,4090.0
4호선,경마공원,선바위,3677.8
경의중앙선,도심,팔당,3578.4
경의중앙선,덕소,도심,3578.4
경의중앙선,도농,양정,3578.4
경의중앙선,덕소,양정,3578.4
에버라인,김량장,용인중앙시장,3559.8
1호선,서정리,평택지제,3326.7
경강선,부발,이천,2963.4
수인분당선,숭의,신포,2880.7
수인분당선,숭의,인하대,2880.7
수인분당선,신포,인천,2880.7
1호선,동인천,인천,2880.7
1호선,도원,동인천,2880.7
1호선,도원,제물포,2880.7
1호선,동두천,보산,2727.5
7호선,산곡,석남,2189.4
7호선,부평구청,산곡,2189.4
에버라인,고진,용인중앙시장,2134.0
8호선,다산,별내,2094.5
경의중앙선,양평,오빈,1610.9
경의중앙선,아신,오빈,1590.1
경의중앙선,양수,운길산,1585.3
경의중앙선,신원,양수,1585.3
경의중앙선,운길산,팔당,1585.3
경의중앙선,국수,아신,1585.3
경의중앙선,국수,신원,1585.3
1호선,동두천,소요산,1428.7
신분당선,광교,광교중앙,1307.8
1호선,평택,평택지제,1284.2
경춘선,대성리,청평,1216.9
경춘선,대성리,마석,1216.9
경춘선,상천,청평,1123.0
1호선,소요산,청산,1081.8
경강선,부발,세종대왕릉,1024.1
1호선,전곡,청산,922.2
에버라인,고진,보평,820.6
7호선,까치울,부천종합운동장,719.6
1호선,연천,전곡,717.1
경의중앙선,양평,원덕,622.0
경춘선,가평,상천,571.1
경강선,세종대왕릉,여주,549.5
경의중앙선,용문,원덕,466.5
경의중앙선,용문,지평,176.6
경부선 서동탄지선,병점,서동탄,41.2
