역명,내국인,장기외국,단기외국,전체,단기비중,외국인비중
압구정,24985.047383792524,1421.2924773320492,2691.3062213299995,29097.646082454572,9.25,14.13
압구정로데오,16724.92127023191,853.523652376614,1895.0944038742678,19473.53932648279,9.73,14.11
애오개,7703.676455761785,244.28148790692893,546.4937893132975,8494.451732982012,6.43,9.31
약수,11195.739525759089,538.4234933954937,826.3321942142501,12560.495213368833,6.58,10.87
양재,32879.73701504306,1131.2902251455691,1320.8886024190247,35331.91584260765,3.74,6.94
양재시민의숲,20549.442823129484,655.0632193613068,666.4663789743307,21870.97242146512,3.05,6.04
양천구청,6737.742947921464,95.89087647130903,770.4183128004431,7604.052137193216,10.13,11.39
양천향교,12133.383819612933,311.9398820181205,698.9565924051848,13144.280294036238,5.32,7.69
양촌,5728.515721913363,210.92060710093057,252.29019226030002,6191.726521274593,4.07,7.48
양평,21050.926804413823,520.4204900592019,631.5423028832308,22202.889597356254,2.84,5.19
어룡,5343.932940282219,217.7539506520514,247.03626675440552,5808.723157688676,4.25,8.0
어린이대공원,8779.037955800064,832.1928094230428,545.358583818463,10156.58934904157,5.37,13.56
어정,3679.541816006731,90.03123330027445,204.7183230230307,3974.291372330036,5.15,7.42
언주,11855.319718825804,596.4415246391919,554.552789368342,13006.31403283334,4.26,8.85
여의나루,28081.99353602708,810.9208117076445,1824.5718263422,30717.486174076923,5.94,8.58
여의도,32896.176480491136,968.0282814305583,2126.165322468995,35990.37008439069,5.91,8.6
역삼,41359.909172224485,1970.9347028882,1869.7372881273748,45200.58116324006,4.14,8.5
역촌,9269.685334328884,165.9190346248567,276.17610847134944,9711.780477425089,2.84,4.55
연신내,23549.95969325265,447.15391304067043,730.1657785399935,24727.279384833317,2.95,4.76
염창,10505.085065038471,223.77894367962136,451.19411044874704,11180.058119166839,4.04,6.04
영등포,10085.210676504092,636.6246116091331,614.4482441286727,11336.283532241898,5.42,11.04
영등포구청,27873.405116819995,845.3978550528038,1325.8318097178064,30044.634781590605,4.41,7.23
영등포시장,9949.202889251463,392.8829827610346,566.3515368251168,10908.437408837615,5.19,8.79
