id,x,y,r,환승,역명,색목록
355,1892.63,375.18,2.9,N,마들,#69702e
356,1868.5,351.05,2.9,N,수락산,#69702e
357,1757.43,525.26,3.15,Y,광운대,#004b84|#006550
358,1757.45,490.88,2.9,N,월계,#004b84
359,1757.45,454.42,2.9,N,녹천,#004b84
360,1927.78,279.06,2.9,N,발곡,#df7504
361,1888.22,239.5,2.9,N,범골,#df7504
362,1869.22,220.49,2.9,N,경전철의정부,#df7504
363,1879.52,203.11,2.9,N,의정부시청,#df7504
364,1930.23,203.11,2.9,N,흥선,#df7504
365,2020.87,203.11,2.9,N,의정부중앙,#df7504
366,2064.81,203.11,2.9,N,동오,#df7504
367,2108.76,203.11,2.9,N,새말,#df7504
368,2152.7,203.11,2.9,N,경기도청북부청사,#df7504
369,2196.65,203.11,2.9,N,효자,#df7504
370,920.12,1043.18,2.9,N,,#6bc2b3
371,519.99,722.84,2.9,N,강매,#6bc2b3
372,519.99,656.27,2.9,N,행신,#6bc2b3
373,569.11,871.59,2.9,N,수색,#6bc2b3
374,498.61,289.23,2.9,N,탄현,#6bc2b3
375,452.85,289.23,2.9,N,야당,#6bc2b3
376,407.09,289.23,2.9,N,운정,#6bc2b3
377,361.15,289.23,2.9,N,금릉,#6bc2b3
378,315.45,289.23,2.9,N,금촌,#6bc2b3
379,269.75,289.23,2.9,N,월롱,#6bc2b3
380,248.12,499.69,2.9,N,,#a35e8c
381,190.77,442.34,2.9,N,,#a35e8c
382,224.05,289.23,2.9,N,파주,#6bc2b3
383,178.35,289.23,2.9,N,문산,#6bc2b3
384,132.66,289.23,2.9,N,운천,#6bc2b3
385,86.96,289.23,2.9,N,임진강,#6bc2b3
386,236.79,1331.23,2.9,N,작전,#86b3e0
387,236.79,1281.3,2.9,N,경인교대입구,#86b3e0
388,236.79,1232.93,2.9,N,계산,#86b3e0
389,236.79,1179.02,2.9,N,임학,#86b3e0
390,236.79,1126.98,2.9,N,박촌,#86b3e0
391,236.79,1077.04,2.9,N,귤현,#86b3e0
392,236.79,1530.4,2.9,N,부평시장,#86b3e0
393,311.66,1693.49,2.9,N,동수,#86b3e0
394,333.37,1720.36,2.9,N,부평삼거리,#86b3e0
395,333.37,1753.16,2.9,N,간석오거리,#86b3e0
396,333.37,1903.24,2.9,N,예술회관,#86b3e0
397,333.37,1943.14,2.9,N,인천터미널,#86b3e0
398,333.37,1983.04,2.9,N,문학경기장,#86b3e0
399,333.37,2022.95,2.9,N,선학,#86b3e0
400,333.37,2062.85,2.9,N,신연수,#86b3e0
401,333.37,2145.45,2.9,N,동춘,#86b3e0
402,333.37,2175.91,2.9,N,동막,#86b3e0
403,333.37,2206.38,2.9,N,캠퍼스타운,#86b3e0
404,333.37,2236.84,2.9,N,테크노파크,#86b3e0
405,333.37,2297.77,2.9,N,인천대입구,#86b3e0
406,333.37,2267.31,2.9,N,지식정보단지,#86b3e0
407,333.37,2328.24,2.9,N,센트럴파크,#86b3e0
408,321.79,2361.57,2.9,N,국제업무지구,#86b3e0
409,251.31,2361.49,2.9,N,송도달빛축제공원,#86b3e0
410,1608.73,1238.87,2.9,N,서울숲,#eca300
411,1608.73,1329.66,2.9,N,압구정로데오,#eca300
412,1608.73,1824.13,2.9,N,한티,#eca300
413,1628.37,1970.62,2.9,N,구룡,#eca300
414,1703.11,1970.62,2.9,N,개포동,#eca300
415,1774.02,1970.62,2.9,N,대모산입구,#eca300
416,2006.08,1955.02,2.9,N,가천대,#eca300
417,2006.08,1992.28,2.9,N,태평,#eca300
418,2006.08,2063.93,2.9,N,야탑,#eca300
419,1933.24,2262.16,2.9,N,오리,#eca300
420,1956.36,2143.53,2.9,N,수내,#eca300
421,1980.04,2119.82,2.9,N,서현,#eca300
422,1909.66,2296.1,2.9,N,죽전,#eca300
